step,w1,w2,w3,w4,w5,w6,ema1,ema2,ema3,ema4,ema5,ema6,L1,L2,L3,L4,L5,L6,wn1,wn2,wn3,wn4,wn5,eman1,eman2,eman3,eman4,eman5
50,0.20606468617916107,0.19961172342300415,0.10266178846359253,0.18641096353530884,0.14803428947925568,0.15721654891967773,0.8309668898582458,0.8255868554115295,0.7171226739883423,0.8143453001976013,0.7762848138809204,0.7861758470535278,0.014980406500399113,0.0019285932648926973,0.12692801654338837,0.006715348456054926,0.0040784431621432304,0.0002034476783592254,1.1198867559432983,1.0073440074920654,1.0671918392181396,0.8837924003601074,0.8777931928634644,1.0032683610916138,0.9609041810035706,0.9743335843086243,0.9085640907287598,0.9058396220207214
100,0.17100808024406433,0.23418200016021729,0.12815727293491364,0.16542354226112366,0.17235423624515533,0.12887486815452576,0.7509081363677979,0.7873049974441528,0.6827095150947571,0.7451952695846558,0.7613457441329956,0.6809840202331543,2.3736610412597656,0.8259393572807312,0.3132617175579071,2.3502066135406494,3.288041353225708,0.04858735203742981,1.176829218864441,1.034690022468567,1.0335867404937744,0.8428489565849304,0.8414780497550964,0.9917165040969849,0.940227746963501,0.946415364742279,0.8582000136375427,0.8575488924980164
150,0.2070244550704956,0.17851193249225616,0.14658771455287933,0.1469397246837616,0.18627101182937622,0.13466514647006989,0.5852890610694885,0.5594980716705322,0.5266006588935852,0.52738356590271,0.5663845539093018,0.5139729976654053,0.19607572257518768,0.06196758896112442,0.023245465010404587,0.06196758896112442,0.04858735203742981,0.16022413969039917,1.1927695274353027,1.0648131370544434,1.0784852504730225,0.817585289478302,0.7815970182418823,0.9391739368438721,0.88579261302948,0.8988857865333557,0.7881027460098267,0.7700963616371155
200,0.20246383547782898,0.17458316683769226,0.14135664701461792,0.1447126269340515,0.1679643839597702,0.16891930997371674,0.47581520676612854,0.44819244742393494,0.4164677858352661,0.43945643305778503,0.43668854236602783,0.4365054666996002,1.1435761451721191,0.8259393572807312,1.136871099472046,3.0485873222351074,0.3132617175579071,0.20141328871250153,1.1191189289093018,1.1075440645217896,1.11946702003479,0.8627692461013794,0.775865375995636,0.8530692458152771,0.8467774987220764,0.8510605692863464,0.7468762993812561,0.7044090032577515
250,0.20981784164905548,0.1554974615573883,0.13763494789600372,0.1529742330312729,0.19608335196971893,0.14799214899539948,0.4218994081020355,0.36106088757514954,0.3403266966342926,0.3598918914794922,0.4059832692146301,0.36831024289131165,1.3005025386810303,0.16022413969039917,0.10020655393600464,0.3132617175579071,0.8259393572807312,1.7014132738113403,1.177572250366211,1.149007797241211,1.033388614654541,0.8178470730781555,0.7732937932014465,0.8255640268325806,0.8162700533866882,0.7738478183746338,0.6802785396575928,0.6578720211982727
300,0.20146213471889496,0.1410551518201828,0.11462485045194626,0.20291784405708313,0.19087257981300354,0.14906755089759827,0.3653814196586609,0.30437520146369934,0.2701399326324463,0.36434444785118103,0.35452544689178467,0.31350603699684143,0.22441931068897247,0.005233798176050186,0.005233798176050186,0.0019285932648926973,0.029750417917966843,0.006715348456054926,1.2268129587173462,1.0954338312149048,1.0024558305740356,0.833585262298584,0.7565722465515137,0.7992231249809265,0.7539154291152954,0.7184363603591919,0.6446475386619568,0.6003498435020447
350,0.23900875449180603,0.1253301352262497,0.1179678812623024,0.16602832078933716,0.1994882971048355,0.1521766185760498,0.3580409586429596,0.24990496039390564,0.23995570838451385,0.29630857706069946,0.3266003727912903,0.28208911418914795,0.16215473413467407,0.00010890284465858713,0.0040784431621432304,0.0005529314512386918,0.0003800567355938256,0.016034256666898727,1.1833163499832153,1.1185169219970703,0.9816280603408813,0.8657517433166504,0.786939263343811,0.7297679781913757,0.7141895890235901,0.6619709730148315,0.6117252707481384,0.5735464096069336
400,0.19086004793643951,0.1906663477420807,0.09451943635940552,0.11212900280952454,0.21524709463119507,0.19657810032367706,0.3580247163772583,0.35496166348457336,0.23931950330734253,0.2673763036727905,0.3749697804450989,0.36000001430511475,0.2895585596561432,7.889293556218036e-06,0.014163456857204437,0.000911466486286372,6.144193321233615e-06,1.6701560525689274e-05,1.2316572666168213,1.2115548849105835,0.9370327591896057,0.8018558025360107,0.7413703203201294,0.7220449447631836,0.7221829891204834,0.6194063425064087,0.5570905804634094,0.525719165802002
450,0.1832498013973236,0.16774283349514008,0.12515239417552948,0.11845879256725311,0.2061043381690979,0.19929184019565582,0.36389073729515076,0.34706661105155945,0.29930803179740906,0.29283788800239563,0.381351113319397,0.37535184621810913,0.29344964027404785,0.06993620097637177,0.12692801654338837,0.3868710398674011,0.10020655393600464,0.05488218367099762,1.1988459825515747,1.3657935857772827,0.9412299394607544,0.7911484837532043,0.6720468401908875,0.6937896609306335,0.7400688529014587,0.5970187783241272,0.5275380611419678,0.4622749984264374
500,0.19368337094783783,0.14280791580677032,0.12080160528421402,0.12166673690080643,0.21777622401714325,0.20326411724090576,0.373309850692749,0.32223373651504517,0.29789984226226807,0.2978469729423523,0.3917391002178192,0.39001497626304626,0.10020655393600464,0.020541900768876076,0.3484445810317993,0.22541265189647675,0.00861448422074318,0.9740769863128662,1.2373117208480835,1.3606425523757935,0.9219068288803101,0.7672226428985596,0.6599829792976379,0.6833750009536743,0.721381425857544,0.5629346966743469,0.49220728874206543,0.4319820702075958
