step,w1,w2,w3,w4,w5,w6,ema1,ema2,ema3,ema4,ema5,ema6,L1,L2,L3,L4,L5,L6
50,0.2986794710159302,0.13245481252670288,0.1818656474351883,0.12933702766895294,0.14571766555309296,0.1119452714920044,1.001679539680481,0.8824940323829651,0.9081862568855286,0.8483753204345703,0.8912560939788818,0.8252520561218262,1.5505025386810303,3.0485873222351074,0.3868710398674011,0.029750417917966843,2.3502066135406494,0.10020655393600464
100,0.1847575455904007,0.09004969149827957,0.20389968156814575,0.17652864754199982,0.2644556760787964,0.08030872792005539,0.9762515425682068,0.8506079316139221,0.9831792712211609,0.972405195236206,1.0275681018829346,0.8446831703186035,1.7598021030426025,1.0537006855010986,0.8259393572807312,2.1269280910491943,0.9740769863128662,2.3502066135406494
150,0.21340924501419067,0.11791413277387619,0.1679311841726303,0.18445619940757751,0.19458308815956116,0.12170615792274475,0.8209573030471802,0.7238897085189819,0.783198356628418,0.7972146272659302,0.8058167695999146,0.7283905744552612,0.16998440027236938,0.2519291043281555,0.3484445810317993,0.20141328871250153,0.1797446310520172,0.1797446310520172
200,0.2654154896736145,0.15267454087734222,0.15760909020900726,0.16533184051513672,0.15287815034389496,0.10609083622694016,0.686152458190918,0.5949084162712097,0.6001579761505127,0.6119148135185242,0.5963937044143677,0.5348454117774963,0.0004879761836491525,0.0003800567355938256,0.0004879761836491525,0.3868710398674011,0.12692801654338837,0.000296000944217667
250,0.2922110855579376,0.15094900131225586,0.16721579432487488,0.131953626871109,0.14134812355041504,0.11632239073514938,0.644930362701416,0.5355678796768188,0.5524018406867981,0.5138638019561768,0.5245839357376099,0.49263206124305725,0.08314201235771179,0.04570982977747917,0.040445856750011444,0.09441287815570831,0.031639110296964645,0.05164138972759247
300,0.2681978940963745,0.14691278338432312,0.21776919066905975,0.11566740274429321,0.13648562133312225,0.11496714502573013,0.5906851291656494,0.48827946186065674,0.5540886521339417,0.4587251842021942,0.4778960645198822,0.444713294506073,1.4463200569152832,1.136871099472046,1.2234445810317993,2.1269280910491943,1.31326162815094,0.8259393572807312
350,0.21146690845489502,0.1658385694026947,0.20341534912586212,0.14300012588500977,0.15474554896354675,0.12153351306915283,0.4996325671672821,0.4596439003944397,0.4974880814552307,0.43618258833885193,0.4496811330318451,0.40825217962265015,0.002640271093696356,0.014163456857204437,0.42870068550109863,0.1128222793340683,0.16022413969039917,0.0036000751424580812
400,0.19862733781337738,0.14688298106193542,0.23755761981010437,0.12884528934955597,0.14267046749591827,0.14541634917259216,0.4564571678638458,0.40289413928985596,0.4822218716144562,0.3821026086807251,0.3986802399158478,0.4178590476512909,0.5193745493888855,0.14267505705356598,0.14267505705356598,0.22541265189647675,0.20141328871250153,1.8047447204589844
450,0.2271309643983841,0.1293526142835617,0.21370841562747955,0.13727591931819916,0.1346505582332611,0.1578814536333084,0.47089293599128723,0.38084712624549866,0.4570021331310272,0.3883117437362671,0.38190850615501404,0.4100247323513031,0.472930371761322,0.7575989961624146,0.08893946558237076,0.5231232643127441,0.20141328871250153,0.3868710398674011
500,0.253022700548172,0.14269569516181946,0.1948499232530594,0.15610060095787048,0.1337416023015976,0.11958949267864227,0.5051603317260742,0.40968677401542664,0.4607160985469818,0.42430630326271057,0.3978959023952484,0.37963157892227173,0.27648335695266724,0.1797446310520172,0.14267505705356598,0.16022413969039917,0.06993620097637177,0.08893946558237076
