step,w1,w2,w3,w4,w5,w6,ema1,ema2,ema3,ema4,ema5,ema6,L1,L2,L3,L4,L5,L6
50,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.028464358765631914,0.07295704632997513,0.32697078585624695,0.0017157848924398422,0.0022031115368008614,0.00014084020222071558
100,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.21425850875675678,0.015031138435006142,0.009116845205426216,0.14261145889759064,0.38765814900398254,0.002034243429079652
150,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.19062771648168564,0.05713095888495445,0.034651678055524826,0.06473785638809204,0.03926549851894379,0.05041789636015892
200,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.3297188454307616,0.05302935466170311,0.04679824039340019,0.025049293413758278,0.06009013205766678,0.02838456816971302
250,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.009893211477901787,0.3595270812511444,0.21806417405605316,0.005128377582877874,0.008455265313386917,0.3595270812511444
300,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.2609393894672394,0.060172248631715775,0.008143428713083267,0.004358862992376089,0.0038466830737888813,0.009227713569998741
350,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.12335962476208806,0.004877651110291481,0.0029584448784589767,0.001794387586414814,0.008041886612772942,0.011700876988470554
400,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.26736071798950434,0.0027237115427851677,0.025841856375336647,0.020125657320022583,0.003962976858019829,0.00838962197303772
450,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.00366676168050617,7.378347800113261e-05,9.473986574448645e-05,0.00664177443832159,9.473986574448645e-05,3.485284833004698e-05
500,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.021821306087076664,0.04136079177260399,0.09921938180923462,0.06017959490418434,0.14436332881450653,0.30561718344688416
