step,w1,w2,w3,w4,w5,w6,ema1,ema2,ema3,ema4,ema5,ema6,L1,L2,L3,L4,L5,L6
50,0.1993590146303177,0.2088695764541626,0.16304932534694672,0.10291823744773865,0.13205483555793762,0.19374896585941315,0.821778416633606,0.8441000580787659,0.7820196747779846,0.7070499062538147,0.7472042441368103,0.8107290863990784,0.6637125611305237,2.1269280910491943,0.005233798176050186,0.10020655393600464,0.0024756852071732283,0.029750417917966843
100,0.28682875633239746,0.20114187896251678,0.13746656477451324,0.10872913897037506,0.1263790875673294,0.1394544243812561,0.7134742736816406,0.6547583341598511,0.5919545292854309,0.55325847864151,0.5780788660049438,0.5943233370780945,0.016156692057847977,2.260326937175705e-06,1.013004202832235e-05,2.9023162824159954e-06,3.726646127688582e-06,1.7603447304281872e-06
150,0.23313593864440918,0.16442885994911194,0.1678609997034073,0.10302451997995377,0.1822187751531601,0.14933088421821594,0.5717393755912781,0.5142087340354919,0.5153304934501648,0.43455272912979126,0.5286431908607483,0.49581271409988403,0.24412022531032562,0.2519291043281555,0.023245465010404587,0.0002612244279589504,0.00033540636650286615,0.0015023101586848497
200,0.29096758365631104,0.12236064672470093,0.12534381449222565,0.12630783021450043,0.12140510231256485,0.2136150598526001,0.5974993705749512,0.4546533524990082,0.46477043628692627,0.4591037333011627,0.45268139243125916,0.5458701252937317,0.0705457329750061,0.07888973504304886,0.6931471824645996,5.8292964240536094e-05,0.011047745123505592,0.006715348456054926
250,0.2541821599006653,0.13724038004875183,0.15414221584796906,0.12486419081687927,0.133665069937706,0.19590602815151215,0.5181838870048523,0.41594764590263367,0.4349351227283478,0.4003140926361084,0.4161514639854431,0.47487032413482666,0.07253897190093994,0.018149929121136665,0.0005529314512386918,0.014163456857204437,0.4740769863128662,0.0380413718521595
300,0.32071542739868164,0.22005963325500488,0.13886265456676483,0.1035049632191658,0.10810580104589462,0.10875151306390762,0.5734533667564392,0.5112982392311096,0.437343567609787,0.3868415653705597,0.3940175771713257,0.3950001895427704,0.0007576586795039475,5.8292964240536094e-05,0.20141328871250153,6.475950158346677e-07,1.6052279505629485e-09,5.905304023556823e-10
350,0.3023659586906433,0.13056623935699463,0.16270248591899872,0.11087833344936371,0.16100171208381653,0.13248519599437714,0.564128577709198,0.423374205827713,0.46019747853279114,0.4041789770126343,0.4599808156490326,0.42578160762786865,0.2680222988128662,0.04858735203742981,0.10020655393600464,0.8259393572807312,0.2519291043281555,0.04858735203742981
400,0.28671491146087646,0.12702256441116333,0.16552647948265076,0.10532660037279129,0.1866128295660019,0.12879666686058044,0.5246493220329285,0.39069750905036926,0.4336143434047699,0.3593018054962158,0.45399904251098633,0.39298608899116516,0.041033729910850525,0.07888973504304886,0.0019285932648926973,0.029750417917966843,0.06196760758757591,0.07888973504304886
450,0.2928828001022339,0.14742743968963623,0.15638044476509094,0.11928436160087585,0.16072015464305878,0.12330471724271774,0.4612194895744324,0.35244816541671753,0.362175852060318,0.3146876096725464,0.36271098256111145,0.33023974299430847,0.5250082015991211,0.9740769863128662,0.9740769863128662,0.6931471824645996,0.575939416885376,1.7014132738113403
500,0.2983298599720001,0.1296718865633011,0.1554090827703476,0.14494378864765167,0.13072220981121063,0.1409231275320053,0.4245615303516388,0.2907615005970001,0.3134138286113739,0.30099382996559143,0.28297150135040283,0.2948915362358093,0.6064051985740662,0.9740769863128662,0.2519291341304779,0.16022413969039917,0.06196758896112442,0.014163456857204437
550,0.28121551871299744,0.15086381137371063,0.14245085418224335,0.17127452790737152,0.11185931414365768,0.14233596622943878,0.36764460802078247,0.26489174365997314,0.255510151386261,0.2858286499977112,0.21553438901901245,0.2552908658981323,8.76654485182371e-06,3.927862621821987e-07,0.00861448422074318,6.825603549032166e-08,6.825603549032166e-08,3.224186784223093e-08
600,0.24248094856739044,0.1282079815864563,0.10400403290987015,0.167093425989151,0.18276700377464294,0.175446555018425,0.36077067255973816,0.2556137144565582,0.22110673785209656,0.29932212829589844,0.31418299674987793,0.30737122893333435,0.0007526062545366585,1.3709582162846345e-06,0.0015023101586848497,2.9023162824159954e-06,0.006715348456054926,1.6701560525689274e-05
