step,w1,w2,w3,w4,w5,w6,ema1,ema2,ema3,ema4,ema5,ema6,L1,L2,L3,L4,L5,L6
50,0.1299225240945816,0.254891961812973,0.22004179656505585,0.12962999939918518,0.12082838267087936,0.1446852833032608,0.7704768776893616,0.8829368948936462,0.8570775389671326,0.7698361873626709,0.7581920623779297,0.7878998517990112,0.03360069543123245,0.16022413969039917,0.00015844876179471612,0.006715348456054926,0.0024756852071732283,0.0001234021910931915
100,0.12759481370449066,0.1845889389514923,0.1757371723651886,0.11851376295089722,0.2594497799873352,0.134115532040596,0.6976898908615112,0.7774907350540161,0.7323334813117981,0.6755660772323608,0.8263609409332275,0.6850891709327698,2.131059169769287,4.0181498527526855,0.3132617175579071,1.136871099472046,3.288041353225708,0.04858735203742981
150,0.17339017987251282,0.19592082500457764,0.15695275366306305,0.11930501461029053,0.21574363112449646,0.13868753612041473,0.5570629239082336,0.5747351050376892,0.5383569002151489,0.4928905963897705,0.5918630957603455,0.5189549922943115,0.3274145722389221,0.07888973504304886,0.10020655393600464,0.07888973504304886,0.20141328871250153,0.20141328871250153
200,0.19323554635047913,0.17712043225765228,0.14868386089801788,0.13156364858150482,0.18552987277507782,0.16386660933494568,0.45663565397262573,0.4423775374889374,0.4112797975540161,0.3983165919780731,0.4468926787376404,0.42640578746795654,0.4630729556083679,0.4740769863128662,0.2519291043281555,0.9740769863128662,0.16022413969039917,0.16022413969039917
250,0.20672030746936798,0.148587167263031,0.1462644338607788,0.15121793746948242,0.20802387595176697,0.13918627798557281,0.40380364656448364,0.3514508306980133,0.3437114357948303,0.3511064648628235,0.4081422686576843,0.3561765253543854,0.36300304532051086,0.575939416885376,0.06196758896112442,0.2519291043281555,0.6931471824645996,2.1269280910491943
300,0.21049170196056366,0.14449277520179749,0.1474076211452484,0.16038089990615845,0.19705502688884735,0.14017194509506226,0.3731052875518799,0.30719509720802307,0.31046995520591736,0.32436299324035645,0.35837534070014954,0.30227506160736084,0.38867634534835815,0.005233798176050186,0.0031777266412973404,0.0007099223439581692,0.0040784431621432304,0.014163456857204437
350,0.23966312408447266,0.13661640882492065,0.12639395892620087,0.16031749546527863,0.1880883127450943,0.14892072975635529,0.3658345639705658,0.2691277265548706,0.256614625453949,0.29603347182273865,0.32191506028175354,0.2839457392692566,0.4077858626842499,0.011047745123505592,0.04299908131361008,0.06196758896112442,0.014163456857204437,0.06993620097637177
400,0.1707407832145691,0.18351911008358002,0.13177376985549927,0.12293816357851028,0.12530440092086792,0.2657238245010376,0.3491794764995575,0.3618001639842987,0.30697759985923767,0.2949177920818329,0.29805880784988403,0.42209917306900024,0.007664916105568409,0.07888973504304886,0.06196758896112442,0.001170194591395557,0.0007099223439581692,0.0015023101586848497
450,0.19442734122276306,0.1593223661184311,0.12697653472423553,0.13449333608150482,0.13377979397773743,0.25100061297416687,0.36367857456207275,0.3306480348110199,0.29319024085998535,0.3026815354824066,0.30187493562698364,0.4056258499622345,0.0202318262308836,0.0028048569802194834,0.0013259010156616569,0.0015023101586848497,0.00861448422074318,0.000911466486286372
500,0.2762751281261444,0.12219014763832092,0.1129332035779953,0.12054847925901413,0.18706172704696655,0.1809912770986557,0.4360274374485016,0.2959935963153839,0.2808266282081604,0.29212725162506104,0.3647952675819397,0.3668224811553955,0.7677874565124512,0.22541265189647675,0.00861448422074318,0.06196758896112442,0.07888973504304886,0.8259393572807312
