n_extra,minibatch,group_size,status,peak_gb
7,17,15,OOM,
7,18,15,OOM,
7,19,15,OOM,
7,20,15,OOM,
7,21,15,OOM,
7,22,15,OOM,
7,23,15,OOM,
7,24,15,OOM,
7,25,15,OOM,
7,26,15,OOM,
7,27,15,OOM,
7,28,15,OOM,
7,29,15,OOM,
7,30,15,OOM,
7,31,15,OOM,
7,32,15,OOM,
8,1,16,OOM,
8,2,16,OOM,
8,3,16,OOM,
8,4,16,OOM,
8,5,16,OOM,
8,6,16,OOM,
8,7,16,OOM,
8,8,16,OOM,
8,9,16,OOM,
8,10,16,OOM,
8,11,16,OOM,
8,12,16,OOM,
8,13,16,OOM,
8,14,16,OOM,
8,15,16,OOM,
8,16,16,OOM,
8,17,16,OOM,
8,18,16,OOM,
8,19,16,OOM,
8,20,16,OOM,
8,21,16,OOM,
8,22,16,OOM,
8,23,16,OOM,
8,24,16,OOM,
8,25,16,OOM,
8,26,16,OOM,
8,27,16,OOM,
8,28,16,OOM,
8,29,16,OOM,
8,30,16,OOM,
8,31,16,OOM,
8,32,16,OOM,
9,1,17,OOM,
9,2,17,OOM,
9,3,17,OOM,
9,4,17,OOM,
9,5,17,OOM,
9,6,17,OOM,
9,7,17,OOM,
9,8,17,OOM,
9,9,17,OOM,
9,10,17,OOM,
9,11,17,OOM,
9,12,17,OOM,
9,13,17,OOM,
9,14,17,OOM,
9,15,17,OOM,
9,16,17,OOM,
9,17,17,OOM,
9,18,17,OOM,
9,19,17,OOM,
9,20,17,OOM,
9,21,17,OOM,
9,22,17,OOM,
9,23,17,OOM,
9,24,17,OOM,
9,25,17,OOM,
9,26,17,OOM,
9,27,17,OOM,
9,28,17,OOM,
9,29,17,OOM,
9,30,17,OOM,
9,31,17,OOM,
9,32,17,OOM,
10,1,18,OOM,
10,2,18,OOM,
10,3,18,OOM,
10,4,18,OOM,
10,5,18,OOM,
10,6,18,OOM,
10,7,18,OOM,
10,8,18,OOM,
10,9,18,OOM,
10,10,18,OOM,
10,11,18,OOM,
10,12,18,OOM,
10,13,18,OOM,
10,14,18,OOM,
10,15,18,OOM,
10,16,18,OOM,
10,17,18,OOM,
10,18,18,OOM,
10,19,18,OOM,
10,20,18,OOM,
10,21,18,OOM,
10,22,18,OOM,
10,23,18,OOM,
10,24,18,OOM,
10,25,18,OOM,
10,26,18,OOM,
10,27,18,OOM,
10,28,18,OOM,
10,29,18,OOM,
10,30,18,OOM,
10,31,18,OOM,
10,32,18,OOM,
11,1,19,OOM,
11,2,19,OOM,
11,3,19,OOM,
11,4,19,OOM,
11,5,19,OOM,
11,6,19,OOM,
11,7,19,OOM,
11,8,19,OOM,
11,9,19,OOM,
11,10,19,OOM,
11,11,19,OOM,
11,12,19,OOM,
11,13,19,OOM,
11,14,19,OOM,
11,15,19,OOM,
11,16,19,OOM,
11,17,19,OOM,
11,18,19,OOM,
11,19,19,OOM,
11,20,19,OOM,
11,21,19,OOM,
11,22,19,OOM,
11,23,19,OOM,
11,24,19,OOM,
11,25,19,OOM,
11,26,19,OOM,
11,27,19,OOM,
11,28,19,OOM,
11,29,19,OOM,
11,30,19,OOM,
11,31,19,OOM,
11,32,19,OOM,
12,1,20,OOM,
12,2,20,OOM,
12,3,20,OOM,
12,4,20,OOM,
12,5,20,OOM,
12,6,20,OOM,
12,7,20,OOM,
12,8,20,OOM,
12,9,20,OOM,
12,10,20,OOM,
12,11,20,OOM,
12,12,20,OOM,
12,13,20,OOM,
12,14,20,OOM,
12,15,20,OOM,
12,16,20,OOM,
12,17,20,OOM,
12,18,20,OOM,
12,19,20,OOM,
12,20,20,OOM,
12,21,20,OOM,
12,22,20,OOM,
12,23,20,OOM,
12,24,20,OOM,
12,25,20,OOM,
12,26,20,OOM,
12,27,20,OOM,
12,28,20,OOM,
12,29,20,OOM,
12,30,20,OOM,
12,31,20,OOM,
12,32,20,OOM,
