step,w1,w2,w3,w4,w5,w6,ema1,ema2,ema3,ema4,ema5,ema6,L1,L2,L3,L4,L5,L6
50,0.17393159866333008,0.16588908433914185,0.16994862258434296,0.16264276206493378,0.16316001117229462,0.1644279807806015,0.8716118931770325,0.8458389639854431,0.8583145141601562,0.8457561135292053,0.8458465337753296,0.841505229473114,0.23790524899959564,0.0040784431621432304,0.05488218367099762,0.9740769863128662,0.8259393572807312,0.00861448422074318
100,0.1755683422088623,0.17426195740699768,0.16680485010147095,0.16348117589950562,0.16522502899169922,0.1546587198972702,0.849115788936615,0.8460828065872192,0.8196589350700378,0.8096961975097656,0.8172233700752258,0.7818833589553833,0.7595432996749878,0.8259393572807312,0.3484445810317993,0.3484445810317993,0.575939416885376,0.3132617175579071
150,0.17736120522022247,0.16645488142967224,0.16950012743473053,0.17488306760787964,0.16544809937477112,0.1463526487350464,0.733755886554718,0.7020238637924194,0.7110885381698608,0.7267205119132996,0.6989904642105103,0.6376712918281555,nan,nan,nan,nan,nan,nan
200,0.18117503821849823,0.1681273877620697,0.17278864979743958,0.16973017156124115,0.16045783460140228,0.14772090315818787,0.6970926523208618,0.6597217917442322,0.6733953952789307,0.6644657850265503,0.6363764405250549,0.5950232148170471,nan,nan,nan,nan,nan,nan
250,0.1827913522720337,0.17030908167362213,0.1702364981174469,0.17404288053512573,0.1569710373878479,0.14564917981624603,0.6398931741714478,0.6017624139785767,0.6021433472633362,0.6128992438316345,0.5615258812904358,0.5248289108276367,0.34167370200157166,0.029750417917966843,0.08893946558237076,0.06993620097637177,0.04299908131361008,0.07888973504304886
300,0.187687486410141,0.173234224319458,0.1634066104888916,0.16990219056606293,0.15763625502586365,0.14813317358493805,0.6059855818748474,0.5659187436103821,0.5367172360420227,0.5562078952789307,0.5187415480613708,0.48765233159065247,nan,nan,nan,nan,nan,nan
350,0.19526836276054382,0.16415196657180786,0.16105979681015015,0.16874772310256958,0.16283631324768066,0.14793580770492554,0.5884624719619751,0.5001975297927856,0.4903658330440521,0.5159045457839966,0.497686505317688,0.4491642713546753,0.6628731489181519,0.42870065569877625,0.3868710398674011,0.6325990557670593,0.575939416885376,0.4740769863128662
400,0.19492238759994507,0.16519621014595032,0.16084016859531403,0.16684281826019287,0.16296710073947906,0.14923129975795746,0.5698713064193726,0.4871375560760498,0.4737761318683624,0.4920966625213623,0.4803447425365448,0.4363192915916443,nan,nan,nan,nan,nan,nan
450,0.19411933422088623,0.16926220059394836,0.1631806492805481,0.16560442745685577,0.16176949441432953,0.14606384932994843,0.541782557964325,0.46954208612442017,0.453044056892395,0.46279966831207275,0.45385730266571045,0.40064841508865356,0.6667692065238953,0.22541265189647675,0.3868710398674011,0.6325990557670593,0.8981232643127441,0.6325990557670593
500,0.1911393404006958,0.16760006546974182,0.16563743352890015,0.17171546816825867,0.15754003822803497,0.14636766910552979,0.5186887979507446,0.45086103677749634,0.4458221197128296,0.46306878328323364,0.42045894265174866,0.38383641839027405,0.2871417701244354,0.00975591130554676,0.08893946558237076,0.029750417917966843,0.03364570066332817,0.012509570457041264
